nome;colecao;arte;foil;lingua;quantidade;valor
Zevlor, Elturel Exile;Commander Legends(FECLB);https://repositorio.sbrauble.com/arquivos/in/magic/479915/62862653e5160-z752d-qbkvm-111800805762862653e51ab.jpg;sim;en;1;R$ 1.43
The Council of Four;Commander Legends(FECLB);https://repositorio.sbrauble.com/arquivos/in/magic/479915/628cc1d168aff-ihao2-yobsj-2121644598628cc1d168b49.jpg;sim;en;1;R$ 5.20
Massacre Wurm;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/672168b20cc94-dsq9l-nejpi-a47573e568e5a8d320ab76d2ae0188c6.jpg;sim;en;1;R$ 11.50
Phyrexian Walker;Visions(VI);https://repositorio.sbrauble.com/arquivos/in/magic/221/5f42436537cfd-7iamvk-vt7z2x-3913e68ffd59a39a97130fdd7db76eb6.jpg;não;en;1;R$ 7.00
Ramos, Dragon Engine;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/672168db2ff4a-xt62r-q6ib1-a47573e568e5a8d320ab76d2ae0188c6.jpg;não;en;1;R$ 12.80
Commodore Guff ;Command Masters(CMM);https://repositorio.sbrauble.com/arquivos/in/magic/480263/64aeff832047c-v812n-7c31f-111790855664aeff83204bb.jpg;sim;en;2;R$ 14.00
Tribute to the World Tree;March of the Machines(MOM);https://repositorio.sbrauble.com/arquivos/in/magic/480189/642741998f779-4g7ub-fvzyu-343332002642741998f7b9.jpg;sim;pt;1;R$ 48.00
Demonic Pact;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/67200015e4833-fygo9-5qrti-a47573e568e5a8d320ab76d2ae0188c6.jpg;não;en;1;R$ 8.00
Horobi, Death's Wail;Multiverse Lengends(MUL);https://repositorio.sbrauble.com/arquivos/in/magic/480191/64259ce01823e-z6x8s-jtonx-186817814064259ce018286.jpg;não;pt;2;R$ 1.00
Rith, Liberated Primeval;Dominaria United(TFDMU);https://repositorio.sbrauble.com/arquivos/in/magic/480031/63079a243804a-uqc03-mipoc-50512993863079a243808a.jpg;não;pt;1;R$ 23.00
